0	0.0	0.0	0.0	0.0	0.0	0.000000	0.000000	0.000000	0.000000	0.000000
100000	1.792	0.838	0.632	0.27	0.052	0.268666	0.125637	0.094753	0.040480	0.007796
200000	2.232	0.789	0.926	0.465	0.052	0.334633	0.118291	0.138831	0.069715	0.007796
300000	1.084	0.526	0.343	0.163	0.052	0.162519	0.078861	0.051424	0.024438	0.007796
400000	1.281	0.561	0.468	0.199	0.052	0.192054	0.084108	0.070165	0.029835	0.007796
500000	1.288	0.561	0.448	0.224	0.055	0.193103	0.084108	0.067166	0.033583	0.008246
600000	0.296	0.187	0.037	0.019	0.052	0.044378	0.028036	0.005547	0.002849	0.007796
700000	0.284	0.174	0.03	0.028	0.052	0.042579	0.026087	0.004498	0.004198	0.007796
800000	0.269	0.17	0.025	0.022	0.052	0.040330	0.025487	0.003748	0.003298	0.007796
900000	0.949	0.445	0.285	0.164	0.055	0.142279	0.066717	0.042729	0.024588	0.008246
1000000	0.414	0.242	0.076	0.043	0.052	0.062069	0.036282	0.011394	0.006447	0.007796
1100000	0.194	0.141	0.0	0.0	0.052	0.029085	0.021139	0.000000	0.000000	0.007796
1200000	0.429	0.236	0.091	0.05	0.052	0.064318	0.035382	0.013643	0.007496	0.007796
1300000	0.193	0.14	0.0	0.0	0.052	0.028936	0.020990	0.000000	0.000000	0.007796
1400000	0.297	0.189	0.037	0.016	0.055	0.044528	0.028336	0.005547	0.002399	0.008246
1500000	0.289	0.182	0.033	0.022	0.052	0.043328	0.027286	0.004948	0.003298	0.007796
1600000	0.215	0.149	0.007	0.007	0.052	0.032234	0.022339	0.001049	0.001049	0.007796
1700000	0.228	0.152	0.011	0.012	0.052	0.034183	0.022789	0.001649	0.001799	0.007796
1800000	0.232	0.15	0.011	0.016	0.055	0.034783	0.022489	0.001649	0.002399	0.008246
1900000	0.335	0.183	0.043	0.056	0.052	0.050225	0.027436	0.006447	0.008396	0.007796
2000000	0.248	0.152	0.028	0.016	0.052	0.037181	0.022789	0.004198	0.002399	0.007796
2100000	0.217	0.147	0.007	0.011	0.052	0.032534	0.022039	0.001049	0.001649	0.007796
2200000	0.208	0.144	0.004	0.005	0.055	0.031184	0.021589	0.000600	0.000750	0.008246
2300000	0.193	0.14	0.0	0.0	0.052	0.028936	0.020990	0.000000	0.000000	0.007796
2400000	0.193	0.14	0.0	0.0	0.052	0.028936	0.020990	0.000000	0.000000	0.007796
2500000	0.199	0.143	0.002	0.001	0.052	0.029835	0.021439	0.000300	0.000150	0.007796
2600000	0.214	0.145	0.006	0.01	0.052	0.032084	0.021739	0.000900	0.001499	0.007796
2700000	0.268	0.158	0.033	0.021	0.055	0.040180	0.023688	0.004948	0.003148	0.008246
2800000	0.219	0.147	0.008	0.011	0.052	0.032834	0.022039	0.001199	0.001649	0.007796
2900000	0.225	0.148	0.01	0.015	0.052	0.033733	0.022189	0.001499	0.002249	0.007796
3000000	0.214	0.145	0.006	0.01	0.052	0.032084	0.021739	0.000900	0.001499	0.007796
3100000	0.414	0.196	0.065	0.098	0.055	0.062069	0.029385	0.009745	0.014693	0.008246
3200000	0.269	0.161	0.023	0.032	0.052	0.040330	0.024138	0.003448	0.004798	0.007796
3300000	0.195	0.142	0.001	0.0	0.052	0.029235	0.021289	0.000150	0.000000	0.007796
